time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2014-11-26,1.2476099999999999,1.2530999999999999,1.24429,1.25091,68496,1,82500000,EURUSD,D1
2014-11-27,1.2509299999999999,1.25233,1.24643,1.2466599999999999,36043,3,0,EURUSD,D1
2014-11-28,1.2466599999999999,1.24897,1.24259,1.24392,57816,8,0,EURUSD,D1
2014-11-29,1.24393,1.24513,1.24393,1.24498,629,8,0,EURUSD,D1
2014-12-01,1.24613,1.25062,1.24189,1.24709,59772,3,0,EURUSD,D1
2014-12-02,1.2471,1.24757,1.23765,1.23806,55392,3,0,EURUSD,D1
2014-12-03,1.23805,1.23904,1.23008,1.23101,53449,3,0,EURUSD,D1
2014-12-04,1.2309700000000001,1.24561,1.22794,1.23822,59261,3,0,EURUSD,D1
2014-12-05,1.23822,1.23925,1.2270699999999999,1.22891,58169,1,0,EURUSD,D1
2014-12-06,1.22891,1.22895,1.22811,1.22844,1005,3,0,EURUSD,D1
2014-12-08,1.22828,1.23435,1.22472,1.23105,60508,1,85395512900,EURUSD,D1
2014-12-09,1.23106,1.24476,1.2292,1.2371699999999999,71930,1,101431144000,EURUSD,D1
2014-12-10,1.2371699999999999,1.24478,1.2361900000000001,1.2444600000000001,70657,1,94917820900,EURUSD,D1
2014-12-11,1.24445,1.24949,1.237,1.23885,66598,1,78747737000,EURUSD,D1
2014-12-12,1.23884,1.2485,1.23842,1.2454,63729,1,67756724000,EURUSD,D1
2014-12-13,1.24539,1.24616,1.24431,1.246,2013,12,0,EURUSD,D1
2014-12-15,1.24731,1.24785,1.2414399999999999,1.24346,69324,1,100024622000,EURUSD,D1
2014-12-16,1.24348,1.25696,1.24334,1.25149,76708,1,97411308000,EURUSD,D1
2014-12-17,1.25149,1.25165,1.23204,1.23411,73764,1,105360214000,EURUSD,D1
2014-12-18,1.23422,1.23527,1.22656,1.2285300000000001,69092,1,91527831000,EURUSD,D1
2014-12-19,1.22855,1.23019,1.222,1.22264,61752,1,80406814000,EURUSD,D1
2014-12-20,1.22262,1.2234,1.22224,1.22224,1086,2,931995000,EURUSD,D1
