time,open,high,low,close,volume,spread,real_volume,symbol,timeframe
2024-12-16,1.04854,1.05246,1.04743,1.05115,62385,0,0,EURUSD,D1
2024-12-17,1.05101,1.05344,1.0479,1.04915,64627,0,0,EURUSD,D1
2024-12-18,1.04908,1.05129,1.03443,1.03498,75238,0,0,EURUSD,D1
2024-12-19,1.03475,1.04225,1.0347,1.0363,91129,0,0,EURUSD,D1
2024-12-20,1.03614,1.04475,1.0343,1.04285,78015,0,0,EURUSD,D1
2024-12-23,1.0425,1.04454,1.03842,1.04064,56812,0,0,EURUSD,D1
2024-12-24,1.04,1.04103,1.03835,1.03925,38571,0,0,EURUSD,D1
2024-12-26,1.03997,1.043,1.03906,1.04229,39709,0,0,EURUSD,D1
2024-12-27,1.04148,1.0444,1.0405,1.0424,49833,0,0,EURUSD,D1
2024-12-30,1.04266,1.04585,1.03717,1.04065,54238,0,0,EURUSD,D1
2024-12-31,1.03972,1.04245,1.03442,1.03542,55552,0,0,EURUSD,D1
2025-01-02,1.03516,1.03755,1.02247,1.02669,72087,0,0,EURUSD,D1
2025-01-03,1.02541,1.03099,1.02528,1.03081,57051,0,0,EURUSD,D1
2025-01-06,1.03022,1.04369,1.02939,1.03898,83073,0,0,EURUSD,D1
2025-01-07,1.03791,1.04345,1.03397,1.03399,70985,0,0,EURUSD,D1
2025-01-08,1.03393,1.03576,1.02733,1.03194,75687,0,0,EURUSD,D1
2025-01-09,1.03136,1.03216,1.02836,1.02996,58351,0,0,EURUSD,D1
2025-01-10,1.02988,1.0312,1.0213,1.02447,75765,0,0,EURUSD,D1
2025-01-13,1.02293,1.025,1.01771,1.02426,71187,0,0,EURUSD,D1
2025-01-14,1.02386,1.03084,1.02383,1.03079,73835,0,0,EURUSD,D1
2025-01-15,1.03045,1.03543,1.02593,1.0290300000000001,68100,0,0,EURUSD,D1
2025-01-16,1.0283,1.03152,1.02606,1.03019,71349,0,0,EURUSD,D1
2025-01-17,1.02938,1.03306,1.02652,1.02699,90691,0,0,EURUSD,D1
2025-01-20,1.02777,1.04345,1.02665,1.04167,138020,0,0,EURUSD,D1
2025-01-21,1.04117,1.04353,1.03419,1.04238,169562,0,0,EURUSD,D1
2025-01-22,1.04255,1.04574,1.03923,1.04095,126436,0,0,EURUSD,D1
2025-01-23,1.04029,1.04381,1.0372,1.04154,134236,0,0,EURUSD,D1
2025-01-24,1.04115,1.05216,1.04115,1.0495700000000001,143755,0,0,EURUSD,D1
