time,open,high,low,close,volume,spread,real_volume,symbol,timeframe
2024-12-16,1.2610999999999999,1.26987,1.26081,1.2683200000000001,68689,0,0,GBPUSD,D1
2024-12-17,1.26743,1.27287,1.26662,1.27126,72025,0,0,GBPUSD,D1
2024-12-18,1.2701500000000001,1.2723900000000001,1.25619,1.25721,85851,0,0,GBPUSD,D1
2024-12-19,1.25647,1.26671,1.24949,1.25009,102742,0,0,GBPUSD,D1
2024-12-20,1.24979,1.26144,1.24749,1.25677,88499,0,0,GBPUSD,D1
2024-12-23,1.25587,1.25885,1.25099,1.25356,64230,0,0,GBPUSD,D1
2024-12-24,1.25263,1.25749,1.25189,1.2530000000000001,44675,0,0,GBPUSD,D1
2024-12-26,1.2546599999999999,1.25507,1.25012,1.25266,45357,0,0,GBPUSD,D1
2024-12-27,1.25183,1.2592400000000001,1.25045,1.2575,63424,0,0,GBPUSD,D1
2024-12-30,1.25721,1.26074,1.25065,1.25516,65299,0,0,GBPUSD,D1
2024-12-31,1.2539500000000001,1.25695,1.25052,1.25094,61795,0,0,GBPUSD,D1
2025-01-02,1.251,1.25406,1.23521,1.23805,80366,0,0,GBPUSD,D1
2025-01-03,1.23681,1.24341,1.23672,1.2422,64466,0,0,GBPUSD,D1
2025-01-06,1.2418,1.25512,1.24096,1.252,88913,0,0,GBPUSD,D1
2025-01-07,1.2511,1.2576100000000001,1.24769,1.2477,81853,0,0,GBPUSD,D1
2025-01-08,1.24758,1.2494399999999999,1.23206,1.23631,85420,0,0,GBPUSD,D1
2025-01-09,1.23572,1.23658,1.22383,1.23072,75614,0,0,GBPUSD,D1
2025-01-10,1.2302,1.23218,1.2192,1.2207,91606,0,0,GBPUSD,D1
2025-01-13,1.22025,1.22102,1.20996,1.22028,91549,0,0,GBPUSD,D1
2025-01-14,1.2194099999999999,1.22504,1.21381,1.22155,95231,0,0,GBPUSD,D1
2025-01-15,1.22088,1.23062,1.21584,1.22434,81402,0,0,GBPUSD,D1
2025-01-16,1.22328,1.22606,1.21751,1.22379,88209,0,0,GBPUSD,D1
2025-01-17,1.22322,1.22445,1.21601,1.21672,104072,0,0,GBPUSD,D1
2025-01-20,1.21711,1.23447,1.21599,1.23273,140445,0,0,GBPUSD,D1
2025-01-21,1.23197,1.23602,1.2229,1.23533,178095,0,0,GBPUSD,D1
2025-01-22,1.2345,1.23766,1.2307,1.23159,138976,0,0,GBPUSD,D1
2025-01-23,1.23065,1.23759,1.22932,1.2352,145213,0,0,GBPUSD,D1
2025-01-24,1.23442,1.25022,1.23442,1.24842,152589,0,0,GBPUSD,D1
2025-01-27,1.2465600000000001,1.2523,1.24256,1.2499500000000001,164161,0,0,GBPUSD,D1
2025-01-28,1.2495,1.24979,1.2414399999999999,1.24423,147080,0,0,GBPUSD,D1
2025-01-29,1.24356,1.24636,1.23929,1.245,165106,0,0,GBPUSD,D1
2025-01-30,1.24421,1.24772,1.24079,1.24167,150344,0,0,GBPUSD,D1
2025-01-31,1.24104,1.2472,1.23858,1.23911,171652,0,0,GBPUSD,D1
2025-02-03,1.22927,1.24551,1.22493,1.24491,272973,0,0,GBPUSD,D1
2025-02-04,1.24493,1.24933,1.23788,1.24814,166645,0,0,GBPUSD,D1
2025-02-05,1.24811,1.25502,1.24625,1.25042,144524,0,0,GBPUSD,D1
2025-02-06,1.2505,1.25096,1.23605,1.24344,134262,0,0,GBPUSD,D1
2025-02-07,1.24291,1.24922,1.23763,1.2399499999999999,152988,0,0,GBPUSD,D1
2025-02-10,1.23692,1.24226,1.23629,1.23663,119718,0,0,GBPUSD,D1
2025-02-11,1.23624,1.2455,1.2331699999999999,1.24465,113858,0,0,GBPUSD,D1
