time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2006-10-11,572.5,578.6,570.0,572.6,3723,0,0,XAUUSD,D1
2006-10-12,572.7,579.1,570.6,578.8,3214,0,0,XAUUSD,D1
2006-10-13,586.55,590.23,583.75,588.8,5995,0,0,XAUUSD,D1
2006-10-16,591.55,596.35,589.95,596.0,11026,0,0,XAUUSD,D1
2006-10-17,596.05,598.5,585.93,589.9,11879,0,0,XAUUSD,D1
2006-10-18,589.88,595.03,587.23,589.25,10846,0,0,XAUUSD,D1
2006-10-19,589.7,600.5,586.5,599.1,3392,0,0,XAUUSD,D1
2006-10-20,599.65,602.63,596.45,596.95,4377,0,0,XAUUSD,D1
2006-10-23,591.82,592.75,579.65,581.8,6542,0,0,XAUUSD,D1
2006-10-24,581.83,581.93,577.4,578.6,1807,0,0,XAUUSD,D1
2006-10-25,581.25,591.8,580.85,590.8,2315,0,0,XAUUSD,D1
2006-10-26,590.9,598.3,589.9,597.0,5539,0,0,XAUUSD,D1
2006-10-27,596.9,599.8,591.9,599.1,3670,0,0,XAUUSD,D1
2006-10-30,598.3,610.6,598.2,603.7,5347,0,0,XAUUSD,D1
2006-10-31,603.8,607.3,597.6,605.7,4630,0,0,XAUUSD,D1
2006-11-01,606.0,619.2,605.1,616.5,2613,0,0,XAUUSD,D1
2006-11-02,616.3,625.7,613.8,624.1,4853,0,0,XAUUSD,D1
2006-11-03,624.0,629.0,617.1,626.8,3614,0,0,XAUUSD,D1
2006-11-06,627.67,629.5,622.18,622.73,3783,0,0,XAUUSD,D1
2006-11-07,622.68,628.9,621.6,624.5,3103,0,0,XAUUSD,D1
2006-11-08,624.3,626.9,612.97,615.19,4081,0,0,XAUUSD,D1
2006-11-09,615.69,635.43,614.75,632.9,5319,0,0,XAUUSD,D1
2006-11-10,633.0,636.4,624.85,627.81,4003,0,0,XAUUSD,D1
2006-11-13,627.9,632.35,620.15,625.25,2766,0,0,XAUUSD,D1
2006-11-14,624.8,629.05,618.81,620.5,4075,0,0,XAUUSD,D1
2006-11-15,620.3,624.63,615.05,622.6,4525,0,0,XAUUSD,D1
2006-11-16,622.75,627.8,617.69,618.1,3359,0,0,XAUUSD,D1
2006-11-17,617.8,622.18,614.35,621.18,3326,0,0,XAUUSD,D1
2006-11-20,621.0,626.85,620.05,622.4,3094,0,0,XAUUSD,D1
2006-11-21,622.19,629.35,621.9,627.0,3198,0,0,XAUUSD,D1
2006-11-22,627.5,634.35,625.69,629.79,2747,0,0,XAUUSD,D1
2006-11-23,629.5,631.65,628.35,630.76,928,0,0,XAUUSD,D1
2006-11-24,630.77,639.84,630.15,637.96,2989,0,0,XAUUSD,D1
2006-11-27,639.6,641.79,636.43,640.1,3142,0,0,XAUUSD,D1
2006-11-28,640.3,641.68,632.43,639.5,2716,0,0,XAUUSD,D1
2006-11-29,639.3,640.5,634.5,635.9,2873,0,0,XAUUSD,D1
2006-11-30,636.0,648.55,636.0,647.5,2189,0,0,XAUUSD,D1
2006-12-01,647.8,649.65,643.18,645.6,2994,0,0,XAUUSD,D1
2006-12-04,645.55,647.85,640.35,645.69,1985,0,0,XAUUSD,D1
2006-12-05,645.8,648.4,638.35,643.4,3795,0,0,XAUUSD,D1
2006-12-06,642.55,642.55,627.91,631.4,8042,0,0,XAUUSD,D1
2006-12-07,630.35,634.3,624.4,633.44,17778,0,0,XAUUSD,D1
2006-12-08,633.6,637.75,623.25,624.43,8696,0,0,XAUUSD,D1
2006-12-11,624.42,630.35,622.75,629.93,2940,0,0,XAUUSD,D1
2006-12-12,630.0,630.85,626.56,629.55,3329,0,0,XAUUSD,D1
2006-12-13,629.65,630.17,623.0,628.15,3628,0,0,XAUUSD,D1
2006-12-14,627.94,629.19,624.93,625.35,3587,0,0,XAUUSD,D1
2006-12-15,625.25,628.85,614.22,615.35,2944,0,0,XAUUSD,D1
2006-12-18,614.99,618.12,611.35,615.65,4044,0,0,XAUUSD,D1
2006-12-19,615.75,622.72,614.6,622.44,4278,0,0,XAUUSD,D1
2006-12-20,622.85,624.25,618.87,619.94,3918,0,0,XAUUSD,D1
2006-12-21,620.03,622.15,617.5,618.0,7521,0,0,XAUUSD,D1
2006-12-22,618.3,621.35,618.0,620.11,3903,0,0,XAUUSD,D1
2006-12-25,620.85,620.85,620.85,620.85,1,0,0,XAUUSD,D1
2006-12-26,620.84,628.25,619.86,623.28,1632,0,0,XAUUSD,D1
2006-12-27,623.33,627.95,622.63,625.69,2969,0,0,XAUUSD,D1
2006-12-28,625.9,634.05,625.4,633.4,2213,0,0,XAUUSD,D1
2006-12-29,633.5,635.69,630.76,635.19,2021,0,0,XAUUSD,D1
2007-01-01,636.45,638.05,636.3,636.85,377,0,0,XAUUSD,D1
2007-01-02,638.2,641.3,636.3,640.4,4348,0,0,XAUUSD,D1
2007-01-03,640.4,645.2,625.55,627.7,7449,0,0,XAUUSD,D1
2007-01-04,627.8,630.95,620.8,623.45,7534,0,0,XAUUSD,D1
2007-01-05,623.15,626.3,602.2,607.65,8553,0,0,XAUUSD,D1
2007-01-06,607.65,607.65,607.65,607.65,1,0,0,XAUUSD,D1
2007-01-07,607.65,623.0,607.35,608.55,1690,0,0,XAUUSD,D1
2007-01-08,608.55,610.75,603.9,609.9,5076,0,0,XAUUSD,D1
2007-01-09,610.1,615.95,606.05,613.45,6329,0,0,XAUUSD,D1
2007-01-10,613.4,613.6,606.25,611.95,6199,0,0,XAUUSD,D1
2007-01-11,612.0,616.45,609.35,611.95,6264,0,0,XAUUSD,D1
2007-01-12,611.95,627.32,610.0,626.5,4242,0,0,XAUUSD,D1
2007-01-13,626.5,626.5,626.5,626.5,1,0,0,XAUUSD,D1
2007-01-14,626.5,628.1,626.05,626.4,380,0,0,XAUUSD,D1
2007-01-15,626.1,627.75,624.85,626.45,417,0,0,XAUUSD,D1
2007-01-16,626.25,627.8,622.6,623.7,1272,0,0,XAUUSD,D1
2007-01-17,623.55,633.75,620.2,633.0,4179,0,0,XAUUSD,D1
2007-01-18,632.95,636.45,626.65,628.05,4755,0,0,XAUUSD,D1
2007-01-19,628.1,636.4,627.35,635.4,3635,0,0,XAUUSD,D1
2007-01-20,635.4,635.4,635.4,635.4,1,0,0,XAUUSD,D1
2007-01-21,635.4,636.05,635.4,635.7,100,0,0,XAUUSD,D1
2007-01-22,635.7,639.75,632.04,634.14,4739,0,0,XAUUSD,D1
2007-01-23,634.19,647.75,633.5,646.35,4213,0,0,XAUUSD,D1
2007-01-24,646.4,648.9,639.0,647.5,4529,0,0,XAUUSD,D1
2007-01-25,647.45,654.7,645.25,645.7,5213,0,0,XAUUSD,D1
2007-01-26,645.75,648.05,640.9,646.0,5008,0,0,XAUUSD,D1
