time,open,high,low,close,volume,spread,real_volume,symbol,timeframe
2024-12-16,2649.55,2664.43,2643.38,2652.58,114818,8,0,XAUUSD,D1
2024-12-17,2652.32,2658.68,2632.91,2646.45,122849,8,0,XAUUSD,D1
2024-12-18,2646.36,2651.75,2583.6,2585.26,134682,8,0,XAUUSD,D1
2024-12-19,2583.64,2626.45,2582.57,2594.57,142108,8,0,XAUUSD,D1
2024-12-20,2594.77,2631.98,2589.71,2622.14,128582,8,0,XAUUSD,D1
2024-12-23,2624.24,2636.6,2608.11,2612.52,110598,8,0,XAUUSD,D1
2024-12-24,2612.62,2621.53,2610.04,2615.13,79779,9,0,XAUUSD,D1
2024-12-26,2615.63,2639.11,2614.13,2633.45,89673,9,0,XAUUSD,D1
2024-12-27,2632.68,2638.24,2611.71,2620.97,97229,9,0,XAUUSD,D1
2024-12-30,2619.8,2628.08,2596.07,2605.9,108249,5,0,XAUUSD,D1
2024-12-31,2606.02,2627.6,2602.48,2623.26,88746,9,0,XAUUSD,D1
2025-01-02,2624.91,2660.51,2621.58,2657.96,125109,8,0,XAUUSD,D1
2025-01-03,2657.53,2665.12,2636.65,2639.44,107842,8,0,XAUUSD,D1
2025-01-06,2641.41,2649.39,2614.28,2635.93,134127,8,0,XAUUSD,D1
2025-01-07,2636.16,2664.26,2632.87,2648.49,124350,8,0,XAUUSD,D1
2025-01-08,2648.43,2669.96,2645.28,2661.53,123415,8,0,XAUUSD,D1
2025-01-09,2661.56,2678.14,2655.35,2670.23,101027,8,0,XAUUSD,D1
2025-01-10,2670.21,2697.9,2663.88,2689.04,145658,8,0,XAUUSD,D1
2025-01-13,2688.79,2693.35,2656.66,2662.9,140088,8,0,XAUUSD,D1
2025-01-14,2663.22,2678.18,2659.81,2677.15,131971,5,0,XAUUSD,D1
2025-01-15,2678.09,2697.32,2669.26,2696.18,123644,8,0,XAUUSD,D1
2025-01-16,2694.43,2724.81,2689.8,2714.34,141237,5,0,XAUUSD,D1
2025-01-17,2714.05,2717.4,2699.2,2702.37,170199,8,0,XAUUSD,D1
2025-01-20,2702.37,2713.62,2689.34,2707.07,230220,5,0,XAUUSD,D1
2025-01-21,2706.81,2745.9,2702.88,2744.66,297093,5,0,XAUUSD,D1
2025-01-22,2744.8,2763.42,2741.89,2756.04,256945,8,0,XAUUSD,D1
2025-01-23,2755.7,2758.87,2735.73,2754.48,267994,8,0,XAUUSD,D1
2025-01-24,2754.8,2786.0,2753.43,2771.6,275955,5,0,XAUUSD,D1
2025-01-27,2767.59,2772.62,2730.31,2740.62,307285,8,0,XAUUSD,D1
2025-01-28,2740.74,2765.01,2734.69,2763.26,226129,8,0,XAUUSD,D1
2025-01-29,2762.92,2766.23,2744.83,2759.72,262457,8,0,XAUUSD,D1
2025-01-30,2759.22,2798.36,2757.88,2794.1,289388,8,0,XAUUSD,D1
2025-01-31,2794.98,2817.21,2790.84,2800.57,308232,8,0,XAUUSD,D1
2025-02-03,2802.07,2830.64,2772.07,2814.56,363075,5,0,XAUUSD,D1
2025-02-04,2813.06,2845.4,2807.17,2841.89,302851,5,0,XAUUSD,D1
